,,,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,
#,Immigration,Imigração,"Imigração mede o número de pessoas que entram neste país, legal e ilegalmente, com a intenção de fazer este seu novo lar. Imigração é geralmente causada por uma economia forte, como os que vivem nos países mais pobres procuram emprego e uma melhor qualidade de vida. A imigração pode ser reduzida por controlos nas fronteiras, e os testes de cidadania. Demasiada imigração rápido demais pode levar a tensões raciais em desenvolvimento.",FOREIGNPOLICY,1,0,1,UNKNOWN,icons_immigration.dds,#,#,"RacialTension,1.4*(x^3),8","Unemployment,0.3*(x^3),2","GDP,-0.035+(0.035*x)","EthnicMinorities_freq,-0.7+(1.4*x),8","Wages,-0-(0.22*x)","StateHealthService_cost,0+(0.07*x)",,,,,
#,EnergyEfficiency,Eficiencia Energetica ,"Esta é uma medida geral de como eficientemente o país usa seus recursos energéticos. Padrões de carro de baixo consumo de energia, e uma falta de investimento em nova tecnologia vai significar uma economia de desperdício, e por sua vez, a maior demanda por combustíveis fósseis, como o petróleo. Reduzir o consumo de energia tornou-se mais urgente nos últimos tempos devido a preocupações com a mudança climática, e na unidade de redução de emissões de CO2.",ECONOMY,0.5,0,1,HIGHGOOD,icons_energyefficiency.dds,#,#,"GDP,0+(0.05*x)","CO2Emissions,0-(0.2*x)","OilDemand,0-(0.1*x)",,,,,,,,
#,RacialTension,Tensão Racial,"O grau em que há mal-estar entre diferentes nacionalidades e culturas. Súbito, a imigração descontrolada pode levar a tensões raciais, o que pode, no pior caso, resultar em violentos confrontos.",FOREIGNPOLICY,0,0,1,HIGHBAD,icons_racialtension.dds,#,#,"ViolentCrimeRate,0.45*(x^6)","_Terrorism,-0.2+(x^4)","Patriot_freq,-0.12+(0.24*x)","Liberal_freq,0.1-(0.2*x)","EthnicMinorities,0-(0.4*x)",,,,,,
#,ForeignRelations,Rel. Estrangeiras,"Relações exteriores são importantes por duas razões, em primeiro lugar, como forma de prevenir a escalada de conflitos em guerras ou terrorismo que podem ameaçar os nossos cidadãos e, por outro, como uma forma de garantir as relações comerciais são boas e que beneficiam economicamente do comércio e do turismo com outras nações .",FOREIGNPOLICY,0.14,0,1,HIGHGOOD,icons_foreignrelations.dds,#,#,"RacialTension,0.3-(0.6*x)","_Terrorism,0.24-(x*1)","Patriot_freq,0.2-(0.4*x)","Immigration,-0.1+(0.2*x)",,,,,,,
#,InternationalTrade,Comércio internacional,"O comércio internacional é geralmente bom para uma economia, devido à lei da vantagem comparativa, efetivamente ajuda cada país a produzir o que é de melhor. O comércio pode ser restringido por problemas políticos com outros países, em que argumentos podem levar a tarifas de importação e sanções. Em alguns casos, os países também entrar com 'protecionismo' para defender indústrias politicamente sensíveis contra a concorrência estrangeira.",FOREIGNPOLICY,0.5,0,1,HIGHGOOD,icons_internationaltrade.dds,#,"ForeignRelations,-0.2+(0.2*x),4",#,"GDP,0+(0.15*x)","AirTravel,0+(0.2*x)",,,,,,,,
#,OilDemand,Demanda de petróleo,"Nossa demanda por petróleo vem da indústria, o transporte rodoviário e aéreo. Quanto mais os nossos cidadãos voar e dirigir, maior será a nossa demanda por petróleo, apesar de medidas de eficiência energética e carros híbridos pode reduzir isso um pouco, como também investimentos na indústria mais limpa e fontes de energia renováveis​​.Desfazer edições",TRANSPORT,0.1,0,1,UNKNOWN,icons_oildemand.dds,#,#,"OilPrice,0.+(0.5*x)",,,,,,,,,,
#,OilSupply,Abastecimento de petróleo.,"Nossos suprimentos de petróleo só pode realmente ser expandida através da abertura de novas partes do nosso território para a perfuração, o que pode ser politicamente e ecologicamente difícil. Junto com a demanda de petróleo, a oferta define o preço, que tem um forte efeito sobre a nossa economia.",TRANSPORT,0.5,0,1,UNKNOWN,icons_oilsupply.dds,#,"_year,0-(0.015*x)",#,"OilPrice,0-(0.5*x)",,,,,,,,,
#,OilPrice,Preço do Petróleo,"O preço do petróleo afeta a economia, com os preços mais elevados baixando nosso padrão de vida geral, embora isso vai ser mitigado por medidas de eficiência energética. Um menor nível de dependência do petróleo também nos fará menos sensível a choques petrolíferos globais causadas por instabilidades políticas.",TRANSPORT,0.5,0,1,UNKNOWN,icons_oilprice.dds,#,#,"GDP,0.22-(0.4*x)","Motorist,0.3-(0.6*x),2","Motorist_income,0.2-(0.4*x),2","Motorist_freq,0.2-(0.4*x),12",,,,,,,
#,_Terrorism,Terrorismo,escondido,HIDDEN,0.5,0,1,HIGHBAD,icons_crimerate.dds,#,"_year,0+(0.01*x)",#,,,,,,,,,,
#,_LowIncome,Ganhos dos Pobres,"A renda efetiva dessas pessoas que estão em baixos rendimentos (ou não) em nossa sociedade. Se este valor sobe alto o suficiente (por meio de benefícios e isenções fiscais para os pobres), então mais pessoas vão sair da pobreza e para o grupo de renda média. A tributação progressiva, combinado com os serviços públicos bem financiados e benefícios estatais são as formas mais populares de 'levantar' as pessoas a sair da pobreza.",ECONOMY,0,-1,1,HIGHGOOD,icons_lowincome.dds,#,#,"CarUsage,0.1*(x^3)","AirTravel,0.1*(x^4)","BusUsage,0-(0.05*x)",,,,,,,,
#,_MiddleIncome,Ganhos Médios,"A renda efetiva dessas pessoas no rendimento médio, não ricos ou pobres. Este é geralmente o maior grupo de pessoas na economia, de modo que as políticas que afectam este valor pode ser grandes decisores voto. Assalariados de renda média são esperados que tenha casa própria (ou comprá-los), e muitas vezes possuem um ou mais carros. Eles provavelmente tiram férias no exterior, pelo menos uma vez por ano. Impostos que afetam qualquer um desses atingirá essas pessoas de forma dura, e pode empurrar alguns deles para dentro pobreza",ECONOMY,0,-1,1,HIGHGOOD,icons_middleincome.dds,#,#,"CarUsage,0.2*(x^3)","AirTravel,0.2*(x^3)",,,,,,,,,
#,_HighIncome,Ganhos Elevados,"O rendimento efectivo dos escalões de topo na sociedade. É fácil de reduzir este por impostos punitivos sobre os ricos, sua propriedade, herança e atividades, tais como viagens de avião que muitas vezes entrar dentro Também é possível para beneficiá-los, oferecendo isenções fiscais e brechas para os ricos, ou favorecendo regressiva tributação, como impostos sobre vendas, em vez de imposto de renda progressivo.",ECONOMY,0,-1,1,HIGHGOOD,icons_highincome.dds,#,#,"CarUsage,0.2*(x^2)","AirTravel,0.3*(x^2)",,,,,,,,,
#,GDP,PIB,"O Produto Interno Bruto do seu país. Este é definido como o valor total de mercado de todos os bens e serviços produzidos no país em um ano. Esta é uma boa medida de uso geral da força de sua economia, e as nações da riqueza global. Um dos fatores que contribuem para o ciclo econômico global, que tende a ser cíclico, e está além de seu controle.",ECONOMY,0.35,0,1,HIGHGOOD,icons_gdp.dds,#,"_globaleconomy_,0+(0.3 * x)",#,"Capitalist,-0.2+(0.65*x)","CO2Emissions,0+(0.6*x)","AirTravel,0+(1.0*x)","Immigration,0.98*(x^4),4","Unemployment,0.9-(0.7*x)","Environment,0-(0.55*x)","Equality,-0.15*(x^4)","OilDemand,0+(0.4*x)",,
#,PrivateHealthcare,Plano de Saúde Privado,"O tamanho do setor privado de saúde. Isto irá surgir naturalmente da oferta e procura, e ser impulsionado em tempos de bonança, mas pode ser reduzida, proporcionando um sistema de saúde decente estado em seu lugar. A desvantagem com cuidados de saúde privados é que os mais pobres da sociedade não pode pagar, e também pode evitar o tratamento até que se torna essencial a fim de economizar custos.",PUBLICSERVICES,0.6,0,1,UNKNOWN,icons_privatehealth.dds,#,"StateHealthService,0-(0.85*x),4","GDP,0+(0.4*x),4",#,"Health,0.3*(x^0.6),4","Equality,0-(0.1*x),4","_LowIncome,0-(0.15*x),4","_MiddleIncome,0-(0.08*x),4","Retired,0.00+(0.16*x)","Unemployment,0-(0.07*x)","TradeUnionist,0-(0.1*x)",,
#,PrivateHousing,Propriedade Privada,"O tamanho do setor de habitação privada. Habitação privada vai responder naturalmente à oferta e demanda, mas pode ser artificialmente deflacionado pelo fornecimento de habitação do estado subsidiado, ou controles de aluguel no setor privado.",WELFARE,0.5,0,1,UNKNOWN,icons_privatehousing.dds,#,"StateHousing,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_LowIncome,0-(0.17*x)","_MiddleIncome,0-(0.08*x)","Equality,0-(0.1*x),4",,,,,,
#,PrivateSchools,Escolas Privadas,"O tamanho do setor de educação privada. Isso vai contrair se o estado fornece um sistema de ensino público de alta qualidade. Em tempos econômicos difíceis, haverá muitos na sociedade que não podem pagar o ensino privado.",PUBLICSERVICES,0.5,0,1,UNKNOWN,icons_privateschools.dds,#,"StateSchools,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_LowIncome,0-(0.17*x)","_MiddleIncome,0-(0.08*x)","Equality,0-(0.1*x),8","Education,0.30*(x^0.6)+0.07,8","Unemployment,0-(0.13*x)","TradeUnionist,0-(0.1*x)",,,
#,PrivatePensions,Previdência Privada,"O tamanho do setor de previdência privada. Isto pode funcionar ao lado de uma pensão estatal mínimo, ou substituí-lo completamente em países que estão felizes em deixar planejamento de aposentadoria para os indivíduos. Muitos membros pobres da sociedade não terá os meios para salvar adequadamente para sua aposentadoria sem a ajuda do Estado.",WELFARE,0.5,0,1,UNKNOWN,icons_privatepensions.dds,#,"StatePensions,0-(0.8*x),4","GDP,0+(0.5*x),4",#,"_MiddleIncome,0-(0.10*x)","Equality,0-(0.2*x),4","Retired,0.2+(0.55*x)","Retired_income,0.1+(0.2*x)",,,,,
#,TobaccoUse,Uso do Tabaco,"A popularidade do tabagismo em sua população. Fumar, obviamente, reduz os níveis de saúde da sua população, e pode, portanto, afetar a sua produtividade. Além disso, o fumo vai colocar encargos adicionais sobre o custo dos cuidados de saúde.",WELFARE,0.5,0,1,HIGHBAD,icons_tobaccotax.dds,#,"GDP,0+(0.4 * x)",#,"Health,0-(0.06*x),12","StateHealthService_cost,0+(0.06*x)",,,,,,,,
#,AlcoholConsumption,Consumo de Álcool,"O nível de consumo de álcool em seu país. Um alto nível de consumo vai significar o estado ganha uma soma considerável de quaisquer impostos sobre o álcool, mas também pode levar ao aumento da criminalidade, o comportamento anti-social e uma queda em ambos os níveis de saúde e produtividade.",WELFARE,0.4,0,1,HIGHBAD,icons_alcohollaw.dds,#,"GDP,0+(0.4 * x)","PovertyRate,0.2*(x^2)","Unemployment,0.2*(x^2)",#,"Health,0-(0.03*x),12","WorkerProductivity,0-(0.17*x)","CrimeRate,0.0+(0.06*x)","ViolentCrimeRate,0.0+(0.11*x)","StateHealthService_cost,0+(0.12*x)",,,
#,TrafficCongestion,Engarrafamento,"O nível de congestionamento de tráfego em suas estradas. Isto é principalmente impulsionado por carros particulares, reduzindo assim o uso de automóveis vai evitar que isso se tornar um problema. Viajar de ônibus ou trem é muito mais eficiente e vai ajudar a reduzir o congestionamento, mesmo em tempos de prosperidade.",TRANSPORT,0.25,0,1,HIGHBAD,icons_trafficcongestion.dds,#,"CarUsage,0+(x^2)",#,"Commuter,0.4-(0.80*x)","Motorist,0.3-(0.6*x)","Motorist_freq,0.2-(0.2*x)","GDP,-0.10*(x^2)","CO2Emissions,0+(0.1*x)",,,,,
#,Tourism,Turismo,"O tamanho da indústria do turismo. Os turistas preferem visitar os países com grandes problemas sociais, e também preferem impostos baixos de vendas. A reputação decente para o seu país no exterior também vai impulsionar o turismo. Geralmente, o turismo é visto como positivo, pois traz dinheiro na economia. Incentivar o turismo pode parcialmente depender de baixos custos de viagens aéreas, o que pode ter implicações para a poluição e as emissões de CO2.",ECONOMY,0.35,0,1,HIGHGOOD,icons_tourism.dds,#,"AirlineTax,0-(0.3*x)","AntisocialBehaviour,0-(0.1*x)","CrimeRate,0-(0.1*x),8","StreetGangs,0-(0.3*x)","ViolentCrimeRate,0-(0.2*x),8","ForeignRelations,0+(0.4*x),4","BorderControls,0.0-(0.22*x)","SalesTax,0-(0.05*x)","_globaleconomy_,0+(0.25*x)","ClassWarfare,0-(0.4*x)",#,"GDP,0+(0.12*x)"
#,Wages,Salários,"O nível de salário médio em seu país. Os salários são geralmente definido pela oferta e demanda, o que equivale a cerca de a oferta de trabalho e o estado da economia (PIB). Imigração aumenta a oferta de trabalho, redução de salários e desemprego elevado também irá colocar pressão sobre os salários. As leis trabalhistas, incluindo salários mínimos pode empurrar os salários artificialmente mais elevados, embora isso terá efeitos colaterais.",ECONOMY,0.5,0,1,UNKNOWN,icons_wages.dds,#,#,"_LowIncome,-0.5+(1.0*x)","_MiddleIncome,-0.3+(0.6*x)","WorkerProductivity,0.2-(0.4*x)",,,,,,,,
#,LegalDrugConsumption,Consumo de Drogas Legais,"A quantidade de drogas legais, como Cannabis, heroína e ecstasy que são consumidos no país. Obviamente, se essas drogas não são legais, este valor será zero. Como essas drogas são uma mercadoria disponível no mercado livre, o seu consumo será afetado pelo PIB do país, bem como a medida em que eles são legais. Alguns governos podem querer utilizar o consumo deles como um alvo para a tributação.",WELFARE,0,0,1,UNKNOWN,icons_legaldrugconsumption.dds,#,#,"Health,-0.22*(x^2)","WorkerProductivity,0.00-(0.04*x)","AlcoholConsumption,0-(0.3*x),2",,,,,,,,
