,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,
#,Alcoholism,Abuso de Alcool.,"Nos temos um problema serio com as pessoas consumindo alcool em grandes quantidades. Isto e obviamente ruim para sua saude, mas tambem a sua lideranca para o crime e a desordem em nossas cidades.",LAWANDORDER,sit_icons_alcoholism.dds,"Um novo problema de 'abuso de alcool', onde os nossos cidadaos consomem quantidades excessivas de alcool comecou a causar problemas em nossas ruas.","Os fenomenos de 'abuso de alcool', aparentemente, diminuiu.",0,0.6,0.4,2000,0,"_default_,0.4","PovertyRate,0+(0.2*x),4","Unemployment,0+(0.22*x),4","CommunityPolicing,-0.1-(0.25*x),4","AlcoholConsumption,0+(0.9*x)","PoliceForce,0-(0.15*x)",#,"Health,0-(0.12*x)","CrimeRate,0+(0.2*x)",,,,,
#,VigilanteMobs,Justiceiros,"Os nossos cidadaos perderam toda a fe na capacidade da policia para bater crime. Eles comecaram a fazer justica com as proprias maos, o que resulta em muitas vezes turbas violentas fazendo justica pela proprias maos. Isso so esta levando a mais desordem e mais crime.",LAWANDORDER,sit_icons_vigilantemobs.dds,"A midia esta relatando sobre justiceiros que estao a tomar a lei em suas proprias maos, muitas vezes violentamente.",Nao ha mais justiceiros em nossas ruas e as pessoas estao confiando as autoridades para fazer cumprir a lei e a ordem novamente.,0,0.6,0.4,0,0,"_default_,0.3","CrimeRate,0+(1.0*x)","PoliceForce,0-(0.6*x)","CCTVCameras,-0.1-(0.1*x)","RacialTension,0+(0.1*x)","DeathPenalty,-0.1-(0.05*x)",#,"Conservatives,-0.2-(0.3*x)","Conservatives_freq,0.04+(0.04*x),2","Tourism,-0.08-(0.05*x)",,,,
#,ArmedRobbery,Roubo Armado,"Nosso pais e visto como um lugar seguro para as pessoas a realizar assalto a mao armada, com pouca chance de ser pego pela policia. Esta onda de assalto a mao armada se estende de bancos de rua a loja da esquina.",LAWANDORDER,sit_icons_armedrobbery.dds,Uma epidemia de assaltos a mao armada esta varrendo a nacao.,Grande noticia do departamento de estatisticas do crime! Houve uma queda perceptivel na incidencia de assaltos a mao armada. Nossos lojistas estara quebrando o champanhe!,0,0.6,0.4,0,0,"ViolentCrimeRate,0+(0.84*x)","Tasers,-0.1-(0.1*x)","HandgunLaws,0.24-(0.4*x)","ArmedPolice,0-(0.6*x)","CCTVCameras,0-(0.4*x)",#,"Retired,-0.15-(0.4*x)","Conservatives,-0.2-(0.3*x)",,,,,,
#,ContagiousDisease,Doenca Contagiosa,"Nossa populacao esta caindo por uma doenca altamente contagiosa que esta mantendo um numero recorde de pessoas longe do trabalho. Isto e, obviamente, vai ter um efeito negativo sobre a economia, bem como reduzir a qualidade de vida de todos.",PUBLICSERVICES,sit_icons_contagiousdisease.dds,"Uma doenca altamente contagiosa e incapacitante se consolidou entre nossa populacao. Esta e provavelmente atribuivel a baixos niveis de saude publica ou, eventualmente, de alta poluicao.",A doenca contagiosa que tem devastado nossa populacao foi finalmente eliminada gracas ao excelente trabalho de medicos e cientistas. Agora voce pode deixar a sua casa de novo!,0,0.6,0.4,40,0,"_default_,0.4","PovertyRate,0+(0.5*x)","StateHealthService,0-(0.4*x)","PrivateHealthcare,0-(0.4*x)",#,"WorkerProductivity,-0.10-(0.06*x)","Tourism,-0.1-(0.1*x)","_All_,-0.2-(0.1*x)","Health,-0.1-(0.1*x)","Retired_freq,-0.1-(0.05*x)",,,,
#,TeachersStrike,Greve de professores,"O sindicato dos professores convocou uma greve nacional, o que significa que os nossos jovens cidadaos nao estao recebendo uma educacao agora. Naturalmente, os pais estao indignados e as empresas vao estar preocupados que a futura forca de trabalho nao esta recebendo uma educacao real.",PUBLICSERVICES,sit_icons_teachersstrike.dds,Os professores e outros trabalhadores da educacao estao em greve em protesto contra o governo.,Excelente noticia! A greve professores foi cancelado e as criancas podem agora voltar para a escola. Nao espere que eles sejam felizes sobre isto.,0,0.6,0.4,150,0,"_default_,0.88","_prereq_,StateSchools","Unemployment,0-(x^2)","StateSchools,0-(0.73*x)","UniversityGrants,0-(0.18*x)","LabourLaws,-0.2+(0.4*x)","PrivateSchools,0-(0.73*x)",#,"Parents,0-(0.4*x)","Education,-0.05-(0.05*x)",,,,
#,AsthmaEpidemic,Epidemia de Asma,"A asma e outras doencas pulmonares sao um problema serio entre os nossos cidadaos. Nao so isso, obviamente, afetam seriamente a qualidade de vida, mas tambem a reducao da nossa produtividade, e enchem nossos leitos hospitalares. Ma qualidade do ar, possivelmente causada por poluicao de fabrica e fumaca de carro, junto com o tabagismo sao as causas provaveis.",PUBLICSERVICES,sit_icons_asthmaepidemic.dds,"Uma epidemia de asma esta varrendo criancas do pais, a asma e hoje um problema comum.",Boas noticias na frente de saude! Os medicos estao felizes de informar que os niveis de asma cairam significativamente e estao de volta a niveis aceitaveis.,0,0.6,0.4,90,0,"_default_,0.8","Environment,0-(0.6*x)","CarUsage,0 + (0.2*x)",#,"WorkerProductivity,-0.02-(0.03*x)","Parents,-0.4-(0*x)",,,,,,,,
#,HospitalOvercrowding,Superlotacao no Hospital,"Simplesmente nao ha lugares hospitalares suficientes para todos. O problema e especialmente ruim entre os pobres, que nao podem pagar cuidados de saude privados. Pessoas esperando em uma fila por uma operacao vital, naturalmente, nao estao inclinados a votar no seu governo novamente. ",PUBLICSERVICES,sit_icons_hospitalovercrowding.dds,Os medicos reclamam que os nossos hospitais estao seriamente superlotadas. A midia esta relatando casos em que os pacientes sao mantidos em espera por longos periodos.,Taxas de ocupacao leito de hospital cairam e os medicos tem o prazer de informar que nao ha mais listas de espera inaceitaveis ​​para as operacoes de rotina. Hurrah!,0,0.6,0.4,0,0,"_default_,0.6","Immigration,0+(0.2*x)","Health,0+(0.12*x)","StateHealthService,-0.05-(0.55*x)","ViolentCrimeRate,0+(0.2*x)","PrivateHealthcare,0-(0.30*x)",#,"Parents,-0.2-(0.5*x)","Retired,-0.2-(0.45*x)",,,,,
#,DrugAddiction,Viciados em Drogas,"Drogas pesadas estao sendo negociadas livremente em nossas ruas. Os nossos jovens cidadaos, especialmente, estao se tornando viciadas em drogas perigosas. Isso e provavel que alimente o crime, alem de ser um desastre para o futuro da saude dos nossos cidadaos.",PUBLICSERVICES,sit_icons_drugaddiction.dds,Estudos recentes indicam um problema serio com o vicio de drogas pesadas entre nossa populacao.,"O nivel de dependencia de drogas entre a populacao caiu de volta a niveis insignificantes. Isto pode causar uma queda nos niveis de criminalidade, o que vai fazer todo mundo feliz.",0,0.6,0.4,0,0,"_default_,0.6","Narcotics,-0.2+(0.6*x)","PoliceForce,0-(0.27*x)","StateHealthService,0-(0.10*x)","Unemployment,0+(0.13*x)",#,"CrimeRate,0.1+(0.05*x)","WorkerProductivity,-0.05-(0.05*x)","Health,-0.1-(0.1*x)",,"Parents,-0.2-(0.19*x)",,,
#,TeacherShortage,Falta de Professores,"Nos simplesmente nao temos numero suficiente de pessoas que querem trabalhar em nossas escolas. Nos provavelmente teremos que investir mais dinheiro, se vamos ser capazes de manter sala de aula tamanhos pequenos e garantir as nossas criancas ter uma educacao decente. Agora as criancas nao estao apenas aprendendo a maneira que deveriam.",PUBLICSERVICES,sit_icons_teachershortage.dds,Os Diretores queixam-se para voce que simplesmente nao ha professores suficientes para educar os nossos cidadaos mais jovens.,"Os problemas anteriores com a falta de professores ja diminuiu consideravelmente. As criancas ja estao a aprender tudo, desde desenhos animados e historias em quadrinhos, o que significa taxas de alfabetizacao mais elevados e os pais mais felizes. ",0,0.6,0.4,0,0,"_default_,0.8","_prereq_,StateSchools","StateSchools,0-(0.51*x)","Immigration,0-(0.49*x)","PrivateSchools,0-(0.51*x)",#,"Education,-0.1-(0.1*x)","Parents,-0.1-(0.3*x)",,,,,,
#,DoctorsStrike,Greve de Medicos.,"E preciso muito para os profissionais medicos para se recusam a trabalhar, mas o estado de nossa provisao de saude e os salarios de nossos trabalhadores de saude resultou em uma greve nacional de saude. Isto tem um efeito imediato e devastador sobre aqueles que utilizam os servicos de saude regularmente.",PUBLICSERVICES,sit_icons_doctorsstrike.dds,"Medicos e outros profissionais de saude estao em greve, em protesto contra as politicas do governo.","A greve dos trabalhadores de saude foi cancelado, e os medicos voltaram ao trabalho.",0,0.6,0.4,150,0,"_default_,0.5","_prereq_,StateHealthService","StateHealthService,-0.55*(x^7)","Unemployment,0-(x^7)","LabourLaws,0-(0.3*x)","PrivateHealthcare,-0.55*(x^7)",#,"Parents,0-(0.4*x)","Health,-0.22-(0.1*x)",,,,,
#,BrainDrain,Perda de Talentos,"Nosso sistema tributario esta incentivando os melhores e mais brilhantes empresarios a deixar o pais por completo e fazer o dinheiro em outro lugar. Como resultado, estao a perder tanto em seus conhecimentos e habilidades e tambem a receita fiscal potencial deles e de suas empresas. Este pode ser um sinal de que estamos sobrecarregando o rico e bem sucedido.",TAX,sit_icons_braindrain.dds,"Tem havido um enorme salto repentino no numero de nossos cidadaos qualificados que saem do pais para trabalhar em outro lugar, tentado por melhores perspectivas no exterior.","A 'Perda de Talentos' esta chegando ao fim a medida que convencemos os nossos cidadaos melhores e mais brilhantes para fazer deste pais sua casa. Isto ira manter as empresas felizes e, sem duvida, aumentar o nosso PIB.",0,0.6,0.4,0,0,"IncomeTax,0.35+(x^6)","LuxuryGoodsTax,0.3+(0.4*x),4","TaxShelters,-0.2-(0.3*x),4","MansionTax,0.1+(0.1*x),4",#,"GDP,-0.12-(0.11*x),2","Capitalist_freq,-0.05-(0.1*x)","WorkerProductivity,-0.05-(0.05*x)",,,,,,
#,PetrolProtests,Protesto da Gasolina,"Altos niveis de imposto sobre os combustiveis levaram a um pequeno numero de cidadaos altamente vocais encenacao protestos e manifestacoes em ambas as estacoes de gas e dos depositos de que tanques de combustivel sao despachados. Isto esta resultando em filas em alguns postos de gasolina e total de fechamentos em outros. Empresas vao sofrer mal se os motoristas nao podem encher seus tanques, e os motoristas nao sao surpreendentemente indignados.",TAX,sit_icons_petrolprotests.dds,Os manifestantes se reuniram fora dos depositos de gasolina para protestar contra os precos da gasolina. Eles estao interrompendo o fornecimento de gasolina aos postos.,"Os manifestantes da gasolina pararam os protestos e os navios estao viajando livremente de novo. Esta sera tanto uma boa noticia para a economia, e vai animar todos que estavam incomodados.",0,0.6,0.4,100,0,"PetrolTax,0+(0.8*x),1","PovertyRate,0+(0.1*x)","Curfews,0-(0.4*x)","DetentionWithoutTrial,-0.1-(0.1*x)","OilPrice,-0.1+(0.2*x)",#,"GDP,-0.1-(0.2*x)","_All_,-0.1+(0*x)","Motorist,-0.2-(0.2*x)","CarUsage,-0.26-(0*x)",,,,
#,BlackMarket,Mercado Negro,"Toda economia tem um mercado negro, mas a situacao comecou a ficar fora de controle. As pessoas estao cada vez mais trabalhando para o dinheiro, a fim de se esquivar de pagar imposto de renda e corporacao, e as pessoas que estao reivindicando beneficios estatais tambem estao trabalhando e nao declarando a renda. Este pode ser um sinal de que os cidadaos se consideram mais tributados e nao e suficientemente apoiada pelo Estado.",TAX,sit_icons_blackmarket.dds,"Especialistas em fraudes na administracao fiscal lhe dizer que temos um mercado negro significativo com as pessoas, evitando pagar o valor correto do imposto.",Relatorios oficiais do departamento fiscal indicar uma queda significativa no tamanho do mercado negro de trabalho nao tributado. Um mercado negro menor tera um efeito benefico em efeito multiplicador sobre o indice de criminalidade.,0,0.6,0.4,4000,0,"CorporationTax,0+(0.3*x),4","IncomeTax,-0.13+(0.72*x),4","UnemployedBenefit,0-(0.3*x)","SalesTax,0+(0.34*x),4",#,"CrimeRate,0.05+(0.05*x)",,,,,,,,
#,TaxEvasion,Sonegacao de impostos,"Ha sempre uma pequena parte da sociedade determinado a evitar o pagamento de seu quinhao de impostos, mas a evasao fiscal se transformou em uma epidemia, com os inspetores incapazes de lidar com o numero de golpes e sonegadores.",TAX,sit_icons_taxevasion.dds,Inspectores fiscais relatam um aumento da evasao fiscal com grandes somas de dinheiro que esta sendo pago.,"O nivel de evasao fiscal na economia caiu de volta para niveis aceitaveis. Esta e uma grande noticia, porque vamos ter mais dinheiro no de impostos sem os efeitos politicos negativos do aumento dos niveis.",0,0.6,0.4,0,0,"_default_,0.3","CorporationTax,0.3*(x^2),4","IncomeTax,0.5*(x^2),4","CapitalGainsTax,0.12*(x^2),4","FlatTax,0.6*(x^4),4","SalesTax,0.22*(x^2),4",#,,,,,,,
#,Rail Strike,Greve Ferroviaria,"Empregados ferroviarios nao estao voltando para trabalhar. Eles estao pedindo um maior investimento na rede ferroviaria. Nosso sistema ferroviario esta atualmente paralisado que esta a causar o caos total para negocios, e grande ressentimento entre os viajantes.",TRANSPORT,sit_icons_railstrike.dds,A greve ferroviaria principal esta agora em curso.,"A greve ferroviaria acabou e os trens estao se movendo novamente, finalmente! Obviamente os passageiros serao aliviados, e assim vai empresas que vendem mercadorias por via ferroviaria, que e uma boa noticia para a economia.",0,0.6,0.4,0,0,"_default_,1.0","_prereq_,RailSubsidies","RailSubsidies,0-(1.0*x)","_LowIncome,0-(0.2*x)","LabourLaws,-0.3+(0.3*x)","Unemployment,0-(x^7)",#,"Commuter,-0.4*(RailUsage*x)","GDP,-0.16*(RailUsage*x)",,,,,
#,Homelessness,Desabrigados,"Mais e mais dos nossos cidadaos estao desabrigados e tomaram a dormir nas ruas. Isto esta a ter repercussoes nas areas de crime e crime violento, e tambem esta reduzindo a qualidade de vida de todos. Algo precisa ser feito para fornecer casas para essas pessoas!",WELFARE,sit_icons_homelessness.dds,"Temos agora um problema dos desabrigados. Muitas das nossas cidades tem pessoas dormindo nas ruas, muitas vezes pedindo dinheiro.","Nos ja nao temos um problema com a falta de moradia e pessoas dormindo em nossas ruas. Isso vai animar nossos cidadaos mais liberais, socialistas, e, claro, os membros mais pobres da nossa sociedade.",0,0.6,0.4,10,0,"_default_,0.1","PovertyRate,0+(0.9*x)","StateHousing,0-(0.4*x)","PrivateHousing,0-(0.4*x)","UnemployedBenefit,0-(0.3*x)","Unemployment,0+(0.9*x)","MortgageTaxRelief,-0.04-(0.04*x)","PropertyTax,0+(0.04*x)","Immigration,0+(0.06*x),4",#,"Liberal,-0.09-(0.09*x)","Poor,-0.24-(0.3*x)","MiddleIncome,-0.06-(0.05*x)","CrimeRate,0.04+(0.04*x)"
#,ClassWarfare,Luta de Classes,"A desigualdade cresceu tao forte que as pessoas realmente tomaram as ruas para corrigir a diferenca entre ricos e pobres. Queimando carros, janelas quebradas, multidoes enfurecidas, este e um sinal da sociedade literalmente desmoronando ao nosso redor.",WELFARE,sit_icons_classwarfare.dds,"Gangues violentos tomaram a questao da guerra de classes para as ruas, com as principais empresas e areas ricas sendo alvo de violencia e vandalismo.","Chefes de seguranca relatam que a guerra de classe que tem assolado nossas ruas ja terminou. Esta e uma grande noticia, pois significa menos crime, e, obviamente, os nossos cidadaos mais ricos sera especialmente aliviado que esta ameaca acabou.",0,0.6,0.4,0,0,"CCTVCameras,-0.1-(0.1*x),3","Equality,0.9-(1.2*x),3","ArmedPolice,-0.2-(0.14*x),2","Curfews,-0.1-(0.05*x),1","PovertyRate,0+(0.25*x),4","PoliceForce,0-(0.12*x),2","PoliceDrones,-0.1-(0.05*x)",#,"ViolentCrimeRate,0.2+(0.2*x)","Conservatives,-0.2-(0.3*x)","Poor,-0.3-(0.25*x)","Wealthy,-0.4-(0.4*x)","Capitalist,-0.3-(0.2*x)","_global_socialism,0.05+(0.1*x)"
#,Gridlock,Engarrafamento,"Congestionamento cronica levando a paralisia virtual da infra-estrutura de transporte. Chega um ponto em que o congestionamento de trafego e tao ruim, ninguem pode chegar em qualquer lugar!",TRANSPORT,sit_icons_gridlock.dds,Os engarrafamentos chegaram a um estado de impasse permanente.,"O engarrafamento de trafego ja aliviou e velocidades medias sao mais rapidos do que um ritmo de caracois , entao os passageiros e motoristas serao muito aliviados. Isto tambem significa aprender a conduzir deixarao de parecer futil para os nossos cidadaos.",0,0.6,0.4,0,0,"TrafficCongestion,0+(x^5)",#,"Commuter,-0.2-(0.5*x)","Motorist_freq,-0.09-(0.05*x)","Motorist,-0.5-(0.35*x)","GDP,-0.06-(0.06*x)",,,,,,,,
#,InternetCrime,Crime Cibernetico.,"Com os nossos altos niveis de uso da Internet e outros itens tecnologicos estamos vendo um forte aumento Crimes da Internet. Os virus de computador que ja nao e simplesmente quebrar o computador de destino, mas se esconder e roubar dos usuarios informacoes privadas detectadas (muitas vezes para roubar senhas bancarias ou cometer fraudes de identidade) ou seqüestrar esse computador e usa-lo para realizar mais crime que e dificil de tracar de volta para a fonte original.",LAWANDORDER,sit_icons_internetcrime.dds,Os relatorios indicam que o crime internet esta se tornando bastante comum.,Os casos de crime de internet dentro do nosso pais cairam drasticamente e ja nao sao uma grande preocupacao.,0,0.6,0.4,0,0,"Technology,0.85*(x^2),4","CrimeRate,0+(x*0.25)","Organised Crime,0+(0.11*x)","InternetCensorship,-0.1-(0.3*x),6","InternetTax,-0.05-(0.25*x),2","IntelligenceServices,-0.3*(x^3),10",#,"_All_,-0.01-(0.11*x)","CrimeRate,0.04+(0.08*x),2","_security_,-0.01-(0.05*x)","GDP,-0.02-(0.03*x)",,,
#,DebtCrisis,Crise da Divida,"Nosso nivel de divida publica comecou a causar problemas fiscais graves. A divida dos governos levou as taxas de juros tao alta que os custos das hipotecas estao se tornando inacessiveis para as classes medias. Ao mesmo tempo, os temores sobre um possivel padrao do governo sobre as dividas estao afastando o investimento das empresas do exterior, afetando nosso PIB, e esses medos tambem estao afetando pequenos e grandes empresarios.",ECONOMY,sit_icons_debtcrisis.dds,O pais esta agora no meio de uma crise da divida.,As preocupacoes com os niveis de divida publica estao agora baixando.,0,0.6,0.4,0,0,"_global_interest_rates_,0.2*(x^4)","_effectivedebt_,0+(x^4)",#,"Capitalist,-0.3-(0.5*x)","SelfEmployed,-0.3-(0.25*x)","MiddleIncome,-0.2-(0.3*x)","_MiddleIncome,-0.2-(0.4*x)","_All_,-0.2-(0.2*x)","GDP,-0.2-(0.2*x),2",,,,,
