token,name,type,guiname,leave_approval,join_approval,requiremilitancy,base threat,low threat,medium,high,required,radicalisationrate,de-radical rate,groups,,
,,,,,,,,,,,required,radic join,radic leave,parent,radicalisation rate,
#,CrusadersOfTheLord,EXTREMIST,Cruzados do Senhor,,,0.7,1,Os serviços de inteligência reportar crescente preocupação com uma pequena organização religiosa extremista conhecido como os Cruzados do Senhor '. Devemos manter um olhar atento sobre suas atividades.,Nossos serviços de inteligência relatam sérias preocupações sobre as ações dos grupos religiosos extremistas que são chamados por Cruzados do Senhor. Há uma ameaça moderada de ataques violentos desse grupo em um futuro próximo.,"Nossos especialistas em inteligencia expressa preocupacao sobre uma grande e possivel ameca dos 'Crusados do Senhor', uma organizacao de religiosos extremistas que tem feito um numero alto de ameacas ao governo.",Religious,0.6,0.3,TheChurchOfChrist,0.1,
#,FreedomLeague,EXTREMIST,Liga da Liberdade,,,0.75,0.7,Os nossos serviços de segurança estão preocupados com um forte apoio para o grupo de campanha de direitos humanos extremista conhecido como a 'Liga da Liberdade'. Este grupo pode constituir uma ameaça grave no futuro.,Nossos especialistas em segurança estão nos advertindo sobre as capacidades de crescimento e pontos fortes do grupo extremista conhecido como o 'Liga da Liberdade'. Este grupo tem tanto a motivação e pessoal para a realização de ataques graves contra o nosso governo.,Nossos especialistas de inteligencia estão preocupados com ataques iminentes sobre o governo por parte do grupo extremista popular e perigoso que se autodenominam de 'Liga da Liberdade'. Precisamos estar em alerta máximo.,Liberal,0.6,0.3,HumanRightsSociety,0.1,
#,RevolutionaryArmy,EXTREMIST,Exército Revolucionário,,,0.7,1,Estamos monitorando comunicação extensiva extremista entre um grupo de ativistas comunistas que se autodenominam 'Exército Revolucionário'. Precisamos manter um olho sobre este grupo.,O grupo extrema esquerda conhecido como o 'Exército Revolucionário' está crescendo em força e podem representar uma séria ameaça para o nosso governo a médio prazo. ,"Há um perigo muito real de ataque a instituições governamentais pelo grupo de extrema esquerda chamado de 'Exército Revolucionário'. Este grupo é grande, motivado e bem equipados.",Socialist,0.6,0.3,TheCommunistParty,0.1,
#,TheMoralCrusade,EXTREMIST,A Cruzada Moral,,,0.7,0.96,"Nossos especialistas em segurança afirmam que eles têm monitorado as comunicações entre os membros do que parece ser um grupo conservador extremista chamado de A Cruzada Moral, que baseia-se em apoio dos eleitores conservadores.",Nossos especialistas em inteligência estão mostrando crescente preocupação sobre as capacidades e motivações do grupo terrorista conservador conhecido como 'A Cruzada Moral'. Este grupo deve ser considerado uma ameaça ativa.,Nosso pessoal de segurança estão mostrando preocupação urgente sobre as capacidades e motivações do grupo terrorista conservador conhecido como 'A Cruzada Moral'. Este grupo deve ser considerado um perigo real e presente.,Conservatives,0.6,0.3,TraditionalValuesAlliance,0.1,
#,WarriorsOfGaia,EXTREMIST,Guerreiros de Gaia,,,0.7,1,"Os especialistas em serviços de inteligência têm manifestado preocupação com os 'Guerreiros de Gaia', uma organização extremista ambientalista que podem representar uma séria ameaça para as instituições governamentais.","Especialistas em segurança estão preocupados que o grupo terrorista Verde conhecidos como os 'Guerreiros de Gaia' está crescendo em ambição e capacidade, e são uma ameaça para ser levado muito a sério.",Nossos especialistas de inteligência estão muito preocupados com a ameaça ao governo e a você pela célula terrorista verde extremista chamado dos 'Guerreiros de Gaia'.,Environmentalist,0.6,0.3,FriendsOfThePlanet,0.1,
#,PatriotArmy,EXTREMIST,Exército Patriota,,,0.7,0.96,Os serviços de segurança detectaram um crescimento no apoio a organizações extremistas patrióticas e têm preocupações sobre um grupo chamado 'Exército Patriota'.,Nossas forças de segurança interceptaram evidências sugerindo que o grupo terrorista patriótica 'O Exército Patriota' representa uma ameaça real que precisa ser acompanhada de perto.,Temos provas de que o grupo terrorista extremista 'O Exército Patriota' tem a mão de obra e capacidade de representar uma ameaça real para o nosso governo. Precisamos estar em alerta máximo.,Patriot,0.6,0.3,ThePatriotParty,0.1,
#,BlackPowerGroup,EXTREMIST,Grupo do Poder Negro,,,0.7,0.96,"Os nossos serviços de segurança estão preocupados que há elementos extremistas dentro das minorias étnicas que estão chamando-se o 'Grupo Poder Negro', o que pode tornar-se uma séria ameaça à lei e à ordem.",Nós temos evidência de uma ameaça real de um grupo étnico terrorista extremista conhecido como o 'Grupo Poder Negro'. Este grupo está agora sendo ativamente monitorado em caso eles tentam ação violenta.,Nosso pessoal de segurança têm sérias preocupações sobre a ameaça terrorista real para nós a partir da organização que se autodenominam 'Grupo Poder Negro'. Todo mundo está em alerta máximo para um ataque.,EthnicMinorities,0.6,0.3,EqualityNow,0.1,
#,BattenburgGroup,EXTREMIST,Grupo Battenburg,,,0.7,0.96,Nossos especialistas em segurança estão preocupados com a ameaça potencial de segurança de uma organização sombria extremamente bem financiada composta de vários ricos industriais chamado de 'Grupo Battenburg'.,Nossos especialistas de inteligência interceptaram comunicações que sugere o grupo terrorista financiado por corporações pró-capitalista conhecido como o 'Grupo Battenburg' pode considerar a ação contra o nosso Estado.,"Embora nós não podemos provar nada, os nossos especialistas em inteligência estão convencidos de que a ameaça terrorista séria do misterioso 'Grupo Battenburg' é de fato a ser apoiados diretamente pelas corporações ricas e poderosas. A ameaça é aguda.",Capitalist,0.6,0.3,BusinessFirst,0.1,
#,TheLandArmy,EXTREMIST,O Exército da Terra,,,0.7,0.8,"Nossa equipe de segurança estão agora monitorando rotineiramente as comunicações dentro de um grupo de manifestantes anti-governo rurais conhecidas como O Exército da Terra ', que está atraindo o apoio de agricultores e outras comunidades rurais.",Nossa equipe de inteligência informam que existem preocupações genuínas sobre a ação terrorista do grupo terrorista de pressão rural que se autodenominam 'O Exército da Terra'.,"Agora há ampla evidência de que o grupo terrorista rural 'O Exército da Terra' composta principalmente de agricultores descontentes, tem a capacidade e mão de obra para realizar um ataque terrorista grave contra nosso governo.",Farmers,0.6,0.3,FarmersSociety,0.1,
