,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,BusSubsidies,Subsídio Ônibus,default,"O congestionamento do tráfego e a poluição podem ser reduzidos por incentivo as pessoas a viajarem de ônibus ao invés de carro. Pode ser uma opção cara, porém, e alguns motoristas pode ressentir-se de um sistema de transporte que eles não usam sendo subsidiado.",,10,18,7,7,TRANSPORT,125,1552,,6,0,0,,#Effects,"Commuter,0.10+(0.34*x)","Motorist,0.00-(0.15*x)","BusUsage,0.00+(0.32*x),2","_LowIncome,0+(0.07*x)","Commuter_income,0+(0.07*x)","Commuter_freq,0+(0.12*x),4","Capitalist,-0-(0.06*x)",,,,
#,CarbonTax,Imposto de Carbono,tax,"Um imposto sobre o carbono é um imposto que incide sobre todas as emissões de dióxido de carbono, que se pensa ser a principal causa da mudança climática. O imposto é efetivamente um imposto sobre a poluição, e uma maneira de fazer as pessoas e indústrias que contribuem para a mudança climática pagar pelo dano que causam ou para reduzir as emissões. Obviamente, o imposto é popular entre os ambientalistas, e também pode levar a uma economia mais eficiente da energia.",,39,21,12,8,TAX,0,0,,2,1150,31510,"CO2Emissions,0.5+(1.0*x)",#Effects,"CO2Emissions,0-(0.5*x),8","GDP,0-(0.1*x),4","Environmentalist,0.1+(0.1*x)","EnergyEfficiency,0+(0.25*x),8","_All_,0-(0.25*x)","AirTravel,0-(0.28*x),2","Capitalist,0.02-(0.11*x)",,,,
#,CarEmmissionsLimits,Limites de Emissao de Carros,default,"Estabelecer limites legais sobre os gases de escapamentos ajuda a reduzir a poluição do ar, especialmente nas cidades, mas é impopular entre os motoristas que olham para ele como ainda mais burocracia e impostos.",,13,18,6,4,TRANSPORT,0,80,,5,0,0,,#Effects,"Motorist,0-(0.1*x)","Environmentalist,0.07+(0.10*x)","Environment,0+(0.23*x),16","CarUsage,-0.01-(0.02*x),4","CO2Emissions,-0.02-(0.08*x),16","Motorist_income,0-(0.06*x)",,,,,
#,CarTax,IPVA,default,"Tributar a propriedade de todos os veículos a motor é uma maneira de convencer as pessoas a usar formas alternativas de transporte. Pode-se argumentar no entanto, que esse sistema aumenta os custos fixos de propriedade dos veículos, incentivando as pessoas a usar um carro mais uma vez que tenham se dado ao trabalho de tributá-lo. Há também o argumento de que este é um imposto que atinge injustamente os pobres e as pessoas em comunidades rurais onde um carro é uma necessidade.",MULTIPLYINCOME,38,18,18,7,TAX,0,0,,1,115,7435.9,"CarUsage,0+(1.0*x);TaxEvasion,1.0-(0.2*x)",#Effects,"CarUsage,0.00-(0.14*x),6","_MiddleIncome,0-(0.05*x)","Motorist,-0.05-(0.15*x)","Environmentalist,0.05+(0.05*x)","Motorist_freq,-0.1-(0.2*x)","Motorist_income,0-(0.08*x)","Farmers,-0.03-(0.03*x)",,,,
#,CCTVCameras,Câmeras CCTV,cctv,"Câmeras de CCTV pode ser uma grande ajuda na captura de criminosos e câmeras também deter o crime. Os custos de instalação são extremamente elevados, e há preocupações sobre os direitos civis de pessoas que não gostam de sentir que o governo está constantemente a observá-los.",,28,28,9,7,LAWANDORDER,400,720,,2,0,0,,#Effects,"Liberal,-0.075-(0.135*x)","CrimeRate,-0.05-(0.15*x),4","ViolentCrimeRate,-0.10-(0.20*x),3","Conservatives,0.10+(0.14*x)","_security_,(0.025+0.038*x)",,,,,,
#,ChildBenefit,Benefício Criança,default,"Um pagamento fixo feito pelo Estado diretamente para os pais para ajudar no custo da educação dos filhos. Popular com os pais, por razões óbvias, e os pobres que o vêem como um imposto redistributivo, mas os capitalistas opõem-se a um nível tão desnecessário de interferência por parte do governo.",,18,22,9,10,WELFARE,400,4320,,2,0,0,,#Effects,"Capitalist,-0.05-(0.02*x)","Poor,0.05+(0.04*x)","Equality,0.1+(0.2*x)","Parents,0+(0.23*x)","Liberal,0.05+(0.12*x)","Parents_freq,0.025+(0.05*x),2","_LowIncome,0+(0.07*x)","Parents_income,0+(0.05*x)",,,
#,ChildcareProvision,Provisão de Cuidado de Crianças,default,"Ao dar subsídios estatais de acolhimento de crianças, podemos garantir que mais pais possam voltar ao mercado de trabalho depois de ter filhos, e, portanto, beneficiar a economia. Embora isso possa ser caro, e também é uma distorção do mercado, é popular com os pais.",,16,21,7,10,WELFARE,400,5020,"GDP,0.4+(0.6*x)",1,0,0,,#Effects,"Parents,0.05+(0.06*x)","Capitalist,-0.03-(0.02*x)","WorkerProductivity,0.02+(0.08*x),2","Parents_freq,0.025+(0.045*x),2","Parents_income,0+(0.03*x)","Unemployment,-0.01-(0.11*x)",,,,,
#,CitizenshipTests,Teste de Cidadania,default,"Testes de Cidadania são uma forma de garantir que as pessoas que migram para o nosso país demonstrem uma compreensão da nossa cultura e história. Isso diminui as chances de um choque de culturas para os recém-chegados ao país, estimula a integração e tranquiliza membros patrióticas da sociedade que eles não precisam temer a imigração.",,25,25,7,4,FOREIGNPOLICY,10,50,"Immigration,0+(1.0*x)",2,0,0,,#Effects,"Patriot,0.1+(0.16*x)","RacialTension,-0.1-(0.22*x),6","Patriot_freq,0.02+(0.04*x),4","Immigration,-0.05-(0.1*x)","Liberal,-0.02-(0.03*x)","EthnicMinorities,-0.02-(0.03*x)",,,,,
#,CleanEnergySubsidies,Subsídios Energia Limpa,default,"A energia renovável não pode ser ultra-eficiente ainda, mas há um argumento para investir pesadamente em agora de modo a preparar estrategicamente nosso país para um futuro sem combustíveis fósseis. Ambientalistas estão felizes por razões óbvias, mas os capitalistas vê-lo como uma distorção indesejável do mercado de energia.",,2,13,1,7,ECONOMY,590,1560,"GDP,0.2+(0.8*x)",8,0,0,,#Effects,"Environmentalist,0.05+(0.11*x)","Capitalist,-0.02-(0.05*x)","Environment,0.1+(0.14*x),8","EnergyEfficiency,0.01+(0.25*x),4","CO2Emissions,-0.02-(0.13*x),12",,,,,,
#,CleanFuelSubsidy,Subsídios Combustível Limpo,default,"Um subsídio para combustíveis mais limpos, como combustível Baixo Nível de Enxofre, em um esforço para reduzir o impacto ambiental do automobilismo. O subsídio irá reduzir os custos de conversores catalíticos de montagem para carros mais velhos, e dar um incentivo na bomba para escolher combustíveis menos prejudiciais.",,14,18,6,7,TRANSPORT,120,320,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"Environment,0.00+(0.07*x),4","Environmentalist,0.04+(0.10*x)","Motorist,0.02+(0.02*x)","Motorist_income,0.02+(0.08*x)",,,,,,,
#,CommunityPolicing,Polícia Comunitária,default,"Trabalhar com a comunidade ao invés de tentar controlá-lo. O policiamento comunitário encoraja a polícia para entender melhor as necessidades da comunidade local, especialmente em áreas com minorias étnicas. Os críticos vêem como um desperdício caro de dinheiro que poderia ser gasto em métodos mais diretos para cortar crime.",,1,6,0,2,LAWANDORDER,100,639,,5,0,0,,#Effects,"Liberal,0.05+(0.05*x)","CrimeRate,-0.02-(0.05*x),4","ViolentCrimeRate,-0.02-(0.03*x),4","RacialTension,0-(0.08*x),4","_global_liberalism,0+(0.1*x),8",,,,,,
#,ConsumerRights,Direitos do Consumidor,consumerrights,"A um nível mínimo, o estado garante que o consumidor não está totalmente explorado, na outra extremidade do espectro, a legislação draconianas pode beneficiar o consumidor, em detrimento da actividade. As empresas queixam-se frequentemente a quantidade de legislação que rege a venda para o público.",,14,20,10,7,ECONOMY,5,8,,1,0,0,,#Effects,"Capitalist,0.00-(0.06*x)","SelfEmployed,0.00-(0.10*x)","Liberal,0.00+(0.15*x)","GDP,-0.04*(x^4)","SelfEmployed,-0.02-(0.04*x)",,,,,,
#,CorporationTax,Imposto Corporativo,corptax,"Um imposto direto e proporcional sobre os lucros das empresas. Alguns argumentam que esta deve ser a única forma de tributação, outros que tais impostos sufocam o empreendedorismo e desencorajam as pessoas de iniciar um negócio. Muitas vezes, é uma das principais maneiras que o governo traz em dinheiro.",MULTIPLYINCOME,30,30,19,10,TAX,0,0,,1,575,30638.3,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x)",#Effects,"Socialist,0+(0.22*x)","Capitalist,-0.03-(0.23*x)","Wealthy,0-(0.2*x)","SelfEmployed,0-(0.12*x)","GDP,-0.27*(x^5),6","_HighIncome,0-(0.07*x)","_global_socialism,0+(0.02*x)","SelfEmployed_income,0-(0.1*x)",,,
#,Creationism,Criacionismo vs. Evolução,creationism,"A batalha amarga se desencadeou sobre a maneira como as crianças são ensinadas evolução versus criacionismo. Os cientistas e os liberais consideram óbvio que a evolução baseada em evidências deve ser ensinado nas aulas de ciências. Alguns grupos religiosos acham que é errado ensinar a evolução ou darwinismo como fato, quando se permanece uma teoria não comprovada ou que o criacionismo deveria ser ensinado como uma teoria alternativa na ciência. O governo tem que decidir o que é ensinado em nossas escolas.",UNCANCELLABLE,40,40,30,21,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.3-(0.6*x)","Liberal,-0.35+(0.6*x)","Religious_freq,0.35-(x*0.7),30","_global_liberalism,-0.08+(0.16*x),16",,,,,,,
#,Curfews,Toque de Recolher,curfews,"Introduzido por um curto período de tempo em estado de emergência nacional. Estes podem ser uma forma eficaz de combater o crime ao custo de muita liberdade pessoal. Muitas vezes, porém, o que limita a capacidade dos cidadãos pacíficos que deixar suas casas durante a noite pode ser um sinal de degeneração de um país para o autoritarismo grave.",,50,13,36,6,LAWANDORDER,80,200,,1,0,0,,#Effects,"CrimeRate,-0.05-(0.15*x)","ViolentCrimeRate,-0.05-(0.15*x)","_All_,-0.05-(0.2*x)","Liberal,-0.1-(0.25*x)","_Terrorism,-0.1-(0.3*x)","_security_,0.12+(0.11*x)","GDP,-0.08*(x^4)",,,,
#,DeathPenalty,Pena de Morte,deathpenalty,"A pena de morte é a punição final para crimes graves. Os adversários estão preocupados com a possibilidade de matar a pessoa errada, e sugerem que apenas um estado bárbaro tem a pena de morte. Os defensores apontam que ele absolutamente não garante a reincidência, e atua como um impedimento para o crime sério.",,50,54,44,21,LAWANDORDER,0,0,,3,0,0,,#Effects,"Patriot,0.10+(0.02*x)","Liberal,-0.10-(0.05*x)","ViolentCrimeRate,-0.05-(0.10*x),4","_global_liberalism,-0.04-(0.04*x),8","Conservatives,0.20+(0.14*x)",,,,,,
#,DetentionWithoutTrial,Detenção Sem Julgamento,detention,"Detenção sem julgamento permite que a polícia e serviços de segurança para deter suspeitos quando eles não têm provas suficientes (ou não pode revelar evidência sensível) para condenar suspeitos. Isso pode ser justificado em nome da prevenção do terrorismo, mas os liberais temem que este viole os direitos humanos.",,50,16,36,19,LAWANDORDER,2,2,,1,0,0,,#Effects,"Patriot,0.1+(0.1*x)","Liberal,-0.15-(0.1*x)","_Terrorism,-0.1-(0.1*x)","_security_,(0.05+0.05*x)","ForeignRelations,0-(0.10*x)",,,,,,
#,DisabilityBenefit,Benefício por Imcapacidade,default,Um pagamento direto do Estado para as pessoas com deficiência a fim de permitir o fato de que eles são possivelmente incapaz ou precisar de assistência para o trabalho. Além disso muitas pessoas com deficiência têm necessidades especiais em termos de transporte ou habitação.,,9,19,4,7,WELFARE,50,420,,1,0,0,,#Effects,"Capitalist,-0.04-(0.05*x)","Equality,0.05+(0.05*x),3","Retired,0.02+(0.02*x)",,,,,,,,
#,FaithSchoolSubsidies,Subsídios Escolas Religiosas,default,As escolas religiosas pode conseguir bons padrões acadêmicos. Seus apoiadores fazer um caso que o governo deveria subsidiar métodos de educação que se provou ser eficaz. Os críticos dizem que a religião não tem lugar na educação e que o governo não pode ser visto como instigadora de uma religião em particular sobre as crianças.,,50,36,28,21,PUBLICSERVICES,180,1160,,1,0,0,,#Effects,"Religious,0.13+(0.10*x)","Education,0.04+(0.04*x)","Religious_freq,0.02+(0.35*x),30","RacialTension,0.1+(0.17*x)","Religious_income,0+(0.08*x)",,,,,,
#,ForeignAid,Ajuda Externa,default,"Alguns países estrangeiros têm economias muito pobres, a baixa escolaridade ou falta de alimentos, e pode-se argumentar que os países relativamente ricos como o nosso tem a obrigação moral de ajudá-los. Outros podem argumentar que a primeira prioridade de qualquer nação é aos seus próprios cidadãos, e se os cidadãos quiserem ajudar, podem fazê-lo individualmente, através de instituições de caridade.",,14,16,7,7,FOREIGNPOLICY,200,2490,,2,0,0,,#Effects,"Socialist,0.02+(0.06*x)","Patriot,-0.02-(0.28*x)","Liberal,0+0.10*x)","ForeignRelations,0+(0.6*x),4","EthnicMinorities,0.02+(0.20*x)",,,,,,
#,FreeBusPasses,Passagens de Ônibus Gratuítas,default,"Tradicionalmente, a viagem de ônibus gratuito é oferecido como uma concessão aos cidadãos aposentados. Isto pode ser caro, mas é uma ótima maneira de reduzir o uso de automóveis e, assim, reduzir a poluição e os congestionamentos. Alguns se opõem a uma tal distorção do mercado, no entanto.", ,13,19,3,8,TRANSPORT,220,800,,2,0,0,,#Effects,"Retired,0.01+(0.08*x)","BusUsage,0.05+(0.15*x),4","_LowIncome,0.01+(0.04*x)","Retired_income,0+(0.05*x)",,,,,,,
#,FreeEyeTests,Testes Grátis de Visão,default,"Exames oftalmológicos detectam os problemas mais cedo e aconselham as pessoas com deficiência visual que precisam de óculos. Fazer seus teste oftalmológicos em particular pode ser caro, e é um luxo que muitas pessoas só fazem quando precisam. Os socialistas acreditam que o fornecimento universal de exames oftalmológicos gratuitos são essenciais no fornecimento de uma rede de segurança saúde para todos.",,8,15,6,7,PUBLICSERVICES,200,240,,1,0,0,,#Effects,"Poor,0.05+(0.05*x)","Capitalist,0-(0.05*x)","Wealthy,0.00-(0.10*x)","Socialist,0.01+(0.03*x)","PovertyRate,-0.03-(0.03*x),4","_LowIncome,0.05+(0.05*x)","Retired,0.02+(0.04*x)","Health,0.01+(0.02*x),16",,,
#,FreeSchoolMeals,Refeições Escolares Grátis,default,"Não são apenas as refeições escolares gratuitas uma forma de redistribuição da riqueza, garantindo que todos podem dar ao luxo de alimentar seus filhos, mas também uma forma de garantir que as crianças comem de forma saudável, em vez de sobreviver puramente de porcaria. ",,10,18,3,4,PUBLICSERVICES,210,320,,1,0,0,,#Effects,"Poor,0.00+(0.05*x)","Health,0.00+(0.09*x),16","Socialist,0.01+(0.03*x)","PovertyRate,-0.05-(0.11*x)","Parents,0.01+(0.03*x)","Parents_freq,0.01+(0.02*x)","_LowIncome,0+(0.05*x)","Obesity,0-(0.06*x),16",,,
#,Gambling,Apostando,gambling,"Para alguns, o jogo é um pecado que leva à pobreza e desastre, mas outros acreditam que algum jogo social é uma diversão inofensiva, que também pode ser tributado bem pelo governo como uma forma adicional de receita. Além disso, incentiva o turismo e cria empregos.",,27,32,19,14,LAWANDORDER,0,0,,3,0,0,,#Effects,"Liberal,0.00+(0.08*x)","Religious,0.00-(0.15*x)","GDP,0.00+(0.04*x),6","Unemployment,0.00-(0.03*x),4","Capitalist,0.01+(0.04*x)",,,,,,
#,GatedCommunities,Condomínios Fechados,gatedcommunities,"A solução drástica para o crime de rua grave e o vandalismo, os condomínios fechados são, basicamente, as áreas residenciais de auto-policiada. Eles são populares com os ricos, mas muitas vezes associada a divisão de classes e da desigualdade, já que apenas os relativamente ricos podem dar ao luxo de viver dentro deles. Como resultado, alguns governos estão relutantes em permitir a sua construção.",,13,14,7,4,LAWANDORDER,0,0,,12,0,0,,#Effects,"CrimeRate,0.00-(0.07*x)","Conservatives,0.00+(0.40*x)","Liberal,0.00-(0.11*x)","Equality,0.00-(0.11*x),8","_global_liberalism,-0.01-(0.09*x),12","Wealthy,0.00+(0.42*x)",,,,,
#,GraduateTax,Imposto de Graduação,default,"Um imposto de graduação é um imposto cobrado dedicado exclusivamente às pessoas formar na universidade, como uma forma de eles contribuindo para o custo da sua matrícula na universidade. Os defensores dizem que isso é justo, porque nem todo mundo se beneficia de uma educação universitária. Os opositores argumentam que ele cria um desincentivo para estudar assuntos puramente acadêmicas e as artes, bem como penalizar ambição.",,24,2,10,0,TAX,2,2,,1,200,2600,,#Effects,"Young,-0.2-(0.1*x)","Capitalist,0.02+(0.01*x)","Socialist,-0.05-(0.02*x)","_MiddleIncome,0-(0.05*x)","Young_income,-0.01-(0.13*x)",,,,,,
#,HandgunLaws,Lei de Armas,gunlaws,"Alguns países permitem a posse praticamente sem restrições de qualquer tipo de arma de fogo, enquanto que em outros é estritamente controlada. Algumas pessoas falam do direito básico de defender a si mesmo, os outros estão preocupados que a posse de armas leva a arma do crime.",UNCANCELLABLE,50,45,40,34,LAWANDORDER,0,4,,1,0,0,,#Effects,"ViolentCrimeRate,0.20-(0.40*x),4","Liberal,0.00-(0.12*x)","Patriot,0.20-(0.40*x)","Parents,-0.15+(0.30*x)","_global_liberalism,0-(0.05*x),8",,,,,,
#,HybridCarsInitiative,Iniciativa de Carros Híbridos,default,"Os carros híbridos são menos prejudiciais ao meio ambiente, pois em velocidades mais lentas que utilizam motores elétricos que não produzem CO2. Eles também obter maior eficiência de combustível, reduzindo assim a demanda por petróleo. A desvantagem é que eles são muito caros, mas os incentivos fiscais podem encorajar mais pessoas a comprar modelos híbridos quando chegam novos carros.",,9,14,4,6,TAX,5,200,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"OilDemand,-0.02-(0.12*x) *CarUsage,4","Environmentalist,0.02+(0.09*x)","Motorist,0.02+(0.02*x)","CarUsage,0.01+(0.02*x)","Environmentalist_income,0+(0.05*x)","Environment,0.02+(0.12*x)*CarUsage,4","Environmentalist_freq,0+(0.05*x),8",,,,
#,IDCards,Identidades,idcards,"Alguns dizem cartões de identificação agir como um poderoso dissuasor contra o terrorismo e outros crimes graves, mas os liberais argumentam que é uma violação das liberdades civis de um indivíduo para o Estado a exigir que os cidadãos se identificam no local.",,50,25,39,20,LAWANDORDER,100,1200,,12,0,0,,#Effects,"Liberal,-0.15-(0.35*x)","CrimeRate,0.00-(0.14*x)","ViolentCrimeRate,0.00-(0.50*x)","Conservatives,0.10+(0.14*x)","_security_,0+(0.15*x)","Patriot,0.11+(0.07*x)",,,,,
#,ImportTarrifs,Tarifas de Importação,default,"Importados baratos pode ser prejudicial para a economia, porque as empresas locais não podem coincidir com os salários mais baixos pagos pelos concorrentes estrangeiros. As tarifas de importação ajudam a proteger os fabricantes locais de competição injusta. Isso vai contra o Real economia de livre iniciativa, porém, e pode ser visto como sendo injusto com países estrangeiros, possivelmente provocando retaliação.",,13,13,7,7,FOREIGNPOLICY,0,0,,5,69,154.33, ,#Effects,"Capitalist,0.10-(0.10*x)","Unemployment,0.00-(0.10*x)","Patriot,0.10+(0.10*x)","ForeignRelations,0-(0.16*x)","InternationalTrade,-0.1-(0.35*x)",,,,,,
#,IncomeTax,Imposto de Renda,incometax,"Uma das maneiras mais populares para arrecadar dinheiro para o governo é um imposto direto sobre os lucros povos, retidos na fonte pelo empregador. O imposto de renda é geralmente um imposto progressivo (os ricos pagar mais como uma fração de sua renda do que os pobres) e, por esta razão, é popular entre os socialistas e os baixos salários.",MULTIPLYINCOME,43,13,30,7,TAX,0,0,,1,2300,123464,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x)",#Effects,"Socialist,0+(0.112*x)","Capitalist,0-(0.33*x)","Equality,0+(0.3*x),4","MiddleIncome,0-(1.07*x)","Wealthy,0-(x^11)","_LowIncome,0-(0.10*x)","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.20*x)", ,,
#,FlatTax,Imposto de Renda Fixa,incometax,"Um imposto de renda fixa é um imposto que cada cidadão paga a mesma taxa marginal de imposto de renda, independentemente de sua renda total. Como resultado, o faxineiro do escritório paga a mesma taxa que o CEO, embora conta total de impostos do CEO será maior. Esta estrutura mais simples pode levar à esquiva menor e evasão. Não é progressiva, e pode exacerbar a desigualdade de renda.",MULTIPLYINCOME,43,13,32,9,TAX,0,0,,1,2300,123464,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.05*x)",#Effects,"Socialist,0-(0.25*x)","Capitalist,0-(0.12*x)","Equality,0-(0.3*x),4","MiddleIncome,0-(0.80*x)","Wealthy,-0.2*(x^11)","_LowIncome,0-(0.15*x)","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.10*x)","Poor,0-(0.85*x)",,
#,CapitalGainsTax,Imposto sobre Ganho de Capital,capgains,"CGT é um imposto cobrado sobre os rendimentos não-salariais, como os lucros do mercado de ações e dividendos em ações, e os lucros com a venda de propriedade ou outros ativos. Principalmente ela afeta os ricos proprietários e de negócios, e vai levantar mais dinheiro se a economia está crescendo. Porque tributa os lucros de investimentos, ele também atua como um ligeiro impedimento para o investimento e, assim, ser prejudicial para a economia.",MULTIPLYINCOME,13,9,7,7,TAX,0,0,,1,400,9022,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x)",#Effects,"Socialist,0+(0.1*x)","Capitalist,0-(0.12*x)","Equality,0+(0.09*x)","_HighIncome,0-(0.10*x)","SelfEmployed_freq,0-(0.05*x),4","SelfEmployed,0-(0.1*x)","GDP,-0.01-(0.02*x),4","SelfEmployed_income,0-(0.10*x)","_global_socialism,0.02+(0.04*x),12","Wealthy,0-(0.13*x)",
#,InheritanceTax,Imposto sobre Herança,inheritancetax,"Um imposto pago sobre a riqueza de um indivíduo, uma vez que é passada para seus descendentes. Um imposto sobre herança protege a igualdade, impedindo que as famílias acumulando riqueza e vantagem ao longo das gerações, por isso é popular com os socialistas e os pobres. No entanto, algumas pessoas se opõem fortemente a qualquer coisa que os impede de entregar a sua riqueza arduamente ganha, especialmente a sua casa, para seus filhos.",,48,19,25,10,TAX,0,0,,1,460,1683.6,,#Effects,"Wealthy,-0.1-(0.25*x)","Socialist,0+(0.2*x)","Equality,0.1+(0.3*x),24","Conservatives,0-(0.12*x)","MiddleIncome,0-(0.18*x)","_HighIncome,0-(0.12*x)","Retired,0-(0.22*x)","_global_socialism,0+(0.1*x),32",,,
